"DHSCLUST","LONGNUM","LATNUM","ALT","EVI","LSTD","LSTN","NLIGHT","POPDEN","RDIST","RFALL","WDIST","URBAN_RURA","LCType","ID","GRUMP"
275,0.669382,7.0081,0.707711671517759,1.42009944807219,-1.43258085245129,-1.62653219142901,-0.63220803194136,0.328648252875783,-1.74781157245781,0.0700969414167517,0.785514988796076,"R","crop",275,1
276,1.24496,6.140044,-1.82016650137146,-2.16360501717412,1.71004467300102,1.28495969668982,1.58598377675776,1.37312638849123,0.301161873562862,-1.21814442725098,0.557841135100401,"U","urban",276,2
277,0.913378,6.435461,-0.0180688586379626,0.95806307520375,-1.09783926877941,-1.84182860559424,-0.332821185366639,-0.879233556002507,-1.74781157245781,-1.07903421030199,0.4401322039241,"R","crop",277,2
278,1.764261,6.275709,-2.45463575854886,0.0520556674162874,-0.262288045893933,0.375594955659202,-0.733075685816593,-0.726151622613854,0.301161873562862,-1.07397975322853,-2.47716030388529,"R","crop",278,1
279,1.088093,6.864947,0.181243247939447,0.998204249660689,-0.806932117443161,-0.9304161820574,-0.85762691195639,-0.708674919208787,0.98881906919118,-0.514455434499288,-0.0214881727439614,"R","crop",279,1
280,1.553415,6.324913,-0.901779469037534,0.316848207673724,0.219025240051215,-0.0776284272862159,-0.0796874708283148,-0.801745543606866,0.406397303169216,-1.0440421259804,0.353596950330486,"R","grass",280,2
281,1.135008,7.330089,0.342232540033723,0.420722539545523,-0.176142286659494,-0.243120719482802,-0.85762691195639,-0.813875019115022,0.613808847279687,0.0307719529827791,-0.0214881727439614,"R","crop",281,1
282,1.267523,6.195957,-1.17961060259552,-1.28554622633844,1.57727393293178,0.703565538269474,1.35806614957869,1.37456823142614,0.808236112789598,-1.19362635999348,-2.47716030388529,"U","grass",282,2
283,0.519593,6.967628,0.844837950386657,2.0338366766783,-1.67215092670159,-1.39851604767884,-0.770673613082729,-0.680716779489327,-1.74781157245781,0.0797072215003473,0.613962413725258,"R","grass",283,1
284,1.198238,9.690209,1.20051100475486,0.155862797935484,-1.06114909124967,-0.155613642714826,-0.85762691195639,-0.734040853740076,0.542541078280831,1.37459184760814,0.556716627805754,"R","grass",284,1
285,0.634206,8.78434,0.474056578208845,1.03800557262661,-1.10514918378615,-0.165641261181842,-0.85762691195639,-1.00628745967083,0.631470069058694,0.91795832631574,-0.0214881727439614,"R","grass",285,1
286,1.199589,6.140195,-1.34919174643275,-1.00482072763118,1.60187632706411,1.15996475270283,1.52102476267868,1.41478082763277,-1.74781157245781,-1.23278417859068,0.803075517751734,"U","urban",286,2
287,0.231894,11.047534,0.650651943397321,-0.241510396880424,-0.103898591521764,0.547298873997336,-0.85762691195639,-0.430948176355253,0.886449366896535,0.762019085956534,0.496995545555628,"R","crop",287,1
288,1.022957,6.501569,-0.24702935930431,1.00516576146886,-1.02829731975971,-1.82918445612581,-0.85762691195639,-0.886224358758135,0.686313579408521,-1.02490973928399,0.104573103010339,"R","crop",288,1
289,1.181257,6.688179,0.0294961806436747,1.16996127099955,-0.766093426505672,-0.857195429371021,-0.339092733333129,-0.881769645168971,0.508839973986528,-0.830801244257937,0.104506099679533,"R","crop",289,1
290,1.13379,9.596438,0.823763712645323,0.175972231848405,-0.384894448342161,0.0292793378469511,-0.658253908430056,-0.61330756932627,0.612916151500877,1.30172732776359,0.622086520720122,"R","crop",290,1
291,1.43531,7.740908,0.572606227701067,0.351649158571469,-0.340614272799551,-0.338758672291646,-0.85762691195639,-0.431367905776868,0.405939517389174,0.0744160469690391,-0.0192166624870456,"R","crop",291,1
292,1.238213,9.614235,0.967247421033658,0.110843266606329,-0.642738294656079,0.0177060026304239,-0.85762691195639,-0.610290226604409,0.301161873562862,1.37908857983928,0.556894557139332,"R","crop",292,1
293,0.208607,11.011743,0.664355075444674,-0.0841472122182039,0.115966882657383,0.539442736729611,-0.85762691195639,-0.430948176355253,0.629440005401163,0.780730754772979,0.475300328702706,"R","crop",293,1
294,1.201786,6.229967,-0.637792229434472,-1.40042774137653,0.86863858555751,0.850726458147164,1.53054449912211,1.39226761725221,0.304028187290771,-1.19407237838583,0.476408432298007,"U","urban",294,2
295,1.093403,10.074209,0.474861112211529,0.154544763576404,-0.176877609766764,0.594178865884379,-0.85762691195639,-0.869790575123337,0.986724862365238,1.06013576989165,0.35189668513771,"R","crop",295,1
