"DHSCLUST","LONGNUM","LATNUM","ALT","EVI","LSTD","LSTN","NLIGHT","POPDEN","RDIST","RFALL","WDIST","GRUMP","LCType","URBAN_RURA"
1,-3.655191,13.068499,-1.37433058129702,0.591920264266066,1.33064675837811,0.448479268359862,-0.526848632501924,-0.639344184131743,0.555500545591839,-0.304071213297544,0.615486980058735,1,"crop","R"
2,-4.100196,13.239115,3.16557340877636,-0.0315427673441835,-0.0611196944742406,0.246402911244533,-0.526848632501924,-0.52262942502586,0.464918196505909,-0.233631097343786,0.422030196595469,1,"grass","R"
3,-4.12181,12.974332,-0.116086286265637,-0.074110347355294,-0.354145163991733,-0.124568124688656,-0.526848632501924,0.00414940986281746,0.677000135587479,0.0829131505114494,-0.23873350201029,1,"crop","R"
4,-3.921584,12.608467,-1.05799146985274,-0.0416670345889795,-0.0741277089283945,1.79286151549655,-0.526848632501924,-0.576788051621752,0.711755658465059,0.382969963568097,-3.0433531275994,1,"crop","R"
5,-3.872126,12.725513,-0.813132166737706,-0.680322070672529,1.02746140011842,0.849825196301431,1.04447968590993,1.58696914873824,-1.87124843763736,0.210449727282713,0.331182375975344,2,"urban","U"
6,-3.43751,12.494392,-0.12702276911385,-0.257862376068237,0.375127475028017,-0.326927242692037,0.828795032190595,-0.606373968059935,-1.87124843763736,0.0323413375587908,0.7261528068596,1,"crop","R"
7,-3.710033,12.148797,-0.62576111956908,0.49055611436452,-1.04700119294167,-0.723688166922567,-0.526848632501924,-0.482722958205486,0.463860202766394,0.767075283200709,-3.0433531275994,1,"crop","R"
8,-3.187574,12.204506,-0.0309785680149798,1.12251010032749,-0.804533092433583,-0.715449428147284,-0.526848632501924,-0.523515845931886,0.217317021957689,0.245516410523541,-0.237506812288681,1,"crop","R"
9,-2.854944,13.400412,0.247666763327915,-0.0390958188554894,0.783726079693417,0.160704320017091,-0.526848632501924,-0.595493958861601,0.215872962148479,-1.20047264201846,0.525354707755711,1,"crop","R"
10,-2.594027,13.129877,0.410705347106437,0.960750430297566,-0.838007063017388,-0.480343134893724,-0.526848632501924,-0.480220035703956,0.216208184395828,-0.897457225811346,0.607356575079151,1,"crop","R"
11,-2.755094,13.019033,-0.513735042194112,0.469993904736936,-0.482443995007059,-0.456158068776621,-0.526848632501924,-0.586014551235763,0.216352649964729,-0.810140360921047,-0.238802380780731,1,"crop","R"
12,-3.063647,13.082855,-0.0336433918738538,-0.528412489295063,0.00862774593289654,0.670809509872786,1.17287511024102,1.01365493391013,0.21627026045746,-0.766969752525566,0.668311079291789,2,"grass","U"
13,-2.943899,11.711754,-0.874017935733959,0.858780734602695,0.0891560035720586,-1.58531613646357,-0.394425794343417,-0.693320838516682,0.431493943395109,0.532099265365218,0.568047213220243,1,"grass","R"
14,-3.143483,11.864353,-0.809851518140176,0.678745247353052,-1.76205532596514,-0.666431250722696,-0.526848632501924,-0.486855006663023,0.431493942993544,0.541659921831354,0.521046731738879,1,"crop","R"
15,-3.441453,11.790831,0.417716974371712,0.524914913266213,-0.609661899329573,-1.12800971771832,-0.526848632501924,-0.484538864953101,-1.87124843763736,0.781080232984671,0.665290285952124,1,"crop","R"
16,-4.306393,11.755858,0.0637415768825715,0.518230440739888,0.681068556412195,-0.44420524012579,-0.526848632501924,-0.475765353783661,0.217826289695873,1.16236987008775,-0.0933115410089084,1,"crop","R"
17,-4.156206,12.057065,0.131155244875726,0.0286604708006565,-0.14731138312173,0.243678519963952,-0.526848632501924,-0.193539363208275,0.555500545413334,1.04427772202781,0.0474225837307746,2,"crop","R"
18,-3.984834,12.40269,-0.517834468028862,0.631958510000886,-1.63901604999426,0.219580794857927,-0.526848632501924,-0.398428200914662,0.73412056685108,0.707868590101473,-0.0938064479582213,1,"crop","R"
19,-2.852329,12.530369,-0.774839330292745,0.581134275833375,-0.750858540102153,0.777373968612616,-0.526848632501924,-0.524864923888666,0.216936955371531,-0.289968822161599,-0.238017406019629,1,"crop","R"
20,-3.217053,12.613658,-1.00979597044583,0.0669455230246349,0.314603367646419,1.03893279928616,-0.526848632501924,-0.446753933115767,0.216837841091813,-0.295024903062738,0.213141181117764,1,"grass","R"
21,-4.754696,10.63791,0.205825393233002,0.0621764563093949,-0.692680323904933,-0.275815257668669,2.05774626253769,2.56193756209551,-1.87124843763736,1.61331798431403,0.216055079502434,2,"urban","U"
22,-4.703328,10.585167,0.0545745496504497,1.11299680446919,-1.87192533745162,0.0168324625113327,-0.526848632501924,-0.698347315830229,0.219574134946433,1.54925134190602,-3.0433531275994,1,"crop","R"
23,-4.740942,10.614969,-0.0351353567808638,0.587859916083507,-1.13207263007964,-0.315219512383409,1.20695217499996,0.20605873534245,0.219030287836595,1.58943978142573,0.291874352192184,1,"crop","U"
24,-4.763956,10.647434,-0.466024492380453,0.568127671326218,-1.5855847694431,-0.505073450591992,2.04233637025457,2.51728131362913,-1.87124843763736,1.62263114615224,0.0494495139645304,2,"crop","U"
25,-4.385631,10.235588,-0.198447694743784,0.913403414524242,-0.902800868218415,-1.14277517029475,-0.526848632501924,-0.552042296518752,0.734319396080715,1.18667817184279,0.501667379091441,1,"crop","R"
26,-4.348872,9.897809,-1.09934302956743,1.73910266029973,-1.72079825271982,-0.562040027529001,-0.526848632501924,-0.256798469590287,-1.87124843763736,0.929374242150101,-0.23447453162058,1,"crop","R"
27,-4.858466,10.330941,0.145303979907427,1.96991831539268,-1.33211724683907,-0.615084727216426,-0.526848632501924,-0.606548935973033,0.219309612130186,1.66920698684683,0.192448894458228,1,"crop","R"
28,-4.928177,10.269126,1.04133371362738,1.20881867919608,-1.25891076623213,-1.27139146810038,1.14960769786389,1.51862853742385,-1.87124843763736,1.74761817712105,0.095853457746295,2,"crop","U"
29,-4.670307,9.947439,-0.992778540437881,1.37460795415827,-2.91308638088478,-0.525695845912654,-0.526848632501924,-0.541219031803272,-1.87124843763736,1.21809382654517,0.457251190344571,1,"crop","R"
30,-4.076916,10.751661,-0.0137430234171692,1.7147886182348,-1.49842674377381,-1.10614450521971,-0.526848632501924,-0.548363861441582,-1.87124843763736,1.05197116787754,0.0953308075287086,1,"crop","R"
31,-4.089979,10.422391,0.900241720677601,1.45373250576421,-2.92383188061299,-2.07047990522118,-0.526848632501924,-0.553296490857623,0.823676583245807,1.04325474179413,-0.0923840584276838,1,"crop","R"
32,-4.17741,10.353851,0.641471947231602,1.06858555504145,-2.4492605043604,-1.57741969279809,-0.526848632501924,-0.576416840452254,0.840254536007113,1.07996120049084,-0.0923348327304677,1,"crop","R"
33,-4.996774,10.44532,-0.00678011370283878,1.05436023129924,-1.51034546714485,-0.896169959292612,-0.526848632501924,-0.420107632287273,-1.87124843763736,1.69731795023364,-3.0433531275994,1,"crop","R"
